Serial No.,CustomerID,Age,Gender,City_Tier,Loan_Type,Credit_Score,Monthly_Income,Loan_Amount,Tenure_Months,EMI,DTI_Ratio,Default
1,CUST00001,59,Female,Tier 1,MSME,558,84513,1693822,84,30813.94774335005,0.3646060102392537,0
2,CUST00002,49,Male,Tier 1,Personal,781,21068,765706,48,20541.974570831266,0.9750320187408044,1
3,CUST00003,35,Female,Tier 1,Home,563,125040,276140,48,7408.1447161042815,0.059246198945171795,1
4,CUST00004,63,Female,Tier 1,Auto,602,133962,546885,48,14671.555091861701,0.10952027509190443,0
5,CUST00005,28,Female,Tier 1,Auto,875,27740,953991,36,32143.726965572518,1.1587500708569762,0
6,CUST00006,41,Female,Tier 1,Home,853,103333,1635385,12,146068.13293985956,1.41356713673134,0
7,CUST00007,59,Female,Tier 1,Personal,854,79745,1633770,72,32796.470863133116,0.41126679871005223,0
8,CUST00008,39,Male,Tier 3,MSME,424,146557,1356184,24,64475.45912529628,0.43993435404174674,1
9,CUST00009,43,Male,Tier 1,Auto,569,15337,1167090,36,39323.874443522036,2.5639873797693182,1
10,CUST00010,31,Female,Tier 2,MSME,779,145996,1341702,84,24408.193608979127,0.16718398866393003,0
11,CUST00011,31,Male,Tier 1,Personal,431,71052,879201,12,78527.83812304593,1.1052164347667333,0
12,CUST00012,44,Female,Tier 3,Auto,301,16471,1260923,72,25311.900959225837,1.5367555679209421,1
13,CUST00013,56,Female,Tier 1,Auto,414,66194,880198,36,29657.349165393596,0.4480368185242408,0
14,CUST00014,60,Male,Tier 3,Personal,780,134076,1110919,72,22300.70488183831,0.16632883500282158,0
15,CUST00015,44,Male,Tier 2,Personal,300,88392,258559,48,6936.490510795998,0.07847418896275678,1
16,CUST00016,23,Male,Tier 1,Auto,630,76088,654515,48,17558.998474907636,0.23077224365087315,0
17,CUST00017,42,Male,Tier 3,Home,876,114909,1568848,60,35696.11313928496,0.3106467999833343,0
18,CUST00018,22,Male,Tier 2,Auto,690,20664,167658,84,3050.028191129046,0.14760105454554034,0
19,CUST00019,44,Female,Tier 1,Home,442,103859,284284,48,7626.627842663103,0.0734325175734708,0
20,CUST00020,64,Male,Tier 2,MSME,627,106991,1961870,36,66103.15361669843,0.6178384501191542,1
21,CUST00021,50,Male,Tier 3,Personal,676,134805,1391241,72,27927.918201519293,0.20717271764043835,0
22,CUST00022,58,Male,Tier 2,Personal,389,46536,1067767,24,50763.58927980291,1.0908455664389485,0
23,CUST00023,22,Female,Tier 1,MSME,341,109754,1333134,84,24252.324867006817,0.22096984954540896,0
24,CUST00024,41,Male,Tier 2,Home,334,131134,1492597,72,29962.549208823704,0.22848802910628596,0
25,CUST00025,53,Female,Tier 2,Home,793,111649,1527660,48,40983.29237706913,0.3670726327783422,0
26,CUST00026,32,Male,Tier 3,MSME,852,116610,739703,72,14848.875843522745,0.12733792850975684,0
27,CUST00027,42,Male,Tier 2,MSME,423,108513,1566119,12,139881.4825204095,1.2890758021657267,0
28,CUST00028,64,Female,Tier 1,Personal,356,43359,1527175,72,30656.67161865214,0.7070428658099158,1
29,CUST00029,45,Male,Tier 3,Home,755,132060,1113616,36,37522.12405409801,0.28412936584959875,0
30,CUST00030,47,Male,Tier 1,Personal,534,129209,468403,12,41836.47989521063,0.3237892089189656,0
31,CUST00031,62,Female,Tier 1,MSME,691,33043,374822,84,6818.748086314826,0.20635983676769137,0
32,CUST00032,48,Male,Tier 2,MSME,791,103059,1719260,60,39118.448362012794,0.3795733352934998,0
33,CUST00033,36,Female,Tier 2,Personal,642,24070,207597,60,4723.4697047618,0.19623887431498963,0
34,CUST00034,35,Female,Tier 1,Home,475,71955,1136970,72,22823.655396571405,0.3171934597536155,1
35,CUST00035,64,Female,Tier 2,Personal,351,43571,1189248,24,56539.017429670566,1.2976295570372625,1
36,CUST00036,23,Female,Tier 1,Personal,849,92115,1207618,36,40689.422930311455,0.4417241809728215,1
37,CUST00037,57,Female,Tier 2,MSME,777,113891,1181122,24,56152.692579316805,0.49303889314622584,1
